STATE,CONSTITUENCY,WINNER,PARTY,SYMBOL,GENDER,CRIMINAL CASES,AGE,CATEGORY,EDUCATION,TOTAL VOTES,TOTAL ELECTORS,ASSETS,LIABILITIES
Tamil Nadu,ARANI,0,28,Battery Torch,1,0,41.0,1,7,14776,1449150,44642380,20565404
Bihar,ARARIA,1,1,Lotus,1,3,52.0,1,6,618434,1805439,5010577,1159200
Bihar,ARARIA,0,30,Hurricane Lamp,1,6,50.0,1,4,481193,1805439,76618366,8566199
Bihar,ARRAH,1,1,Lotus,1,1,66.0,1,8,566480,2089353,79971720,0
Bihar,ARRAH,0,31,Flag with Three Stars,1,1,36.0,1,2,419195,2089353,682315,0
Bihar,ARRAH,0,18,Football,1,0,81.0,1,1,13773,2089353,3196572,0
Bihar,ARRAH,0,32,Saw,1,0,70.0,1,1,12598,2089353,4437819,0
Andhra Pradesh,ARUKU,1,13,Ceiling Fan,2,0,26.0,3,8,562190,1451418,141179,0
Andhra Pradesh,ARUKU,0,14,Bicycle,1,0,72.0,3,2,338101,1451418,65729020,0
Andhra Pradesh,ARUKU,0,15,Glass Tumbler,1,3,49.0,3,6,42794,1451418,2567059,320000
Andhra Pradesh,ARUKU,0,1,Lotus,1,0,54.0,3,3,17867,1451418,11443485,2200000
Andhra Pradesh,ARUKU,0,3,Hand,2,0,46.0,3,8,17730,1451418,23592023,0
Andhra Pradesh,ARUKU,0,18,Cup & Saucer,1,0,61.0,3,10,13826,1451418,340500,0
Andhra Pradesh,ARUKU,0,18,Bangles,2,0,37.0,3,6,11236,1451418,964000,0
Arunachal Pradesh,ARUNACHAL EAST,1,1,Lotus,1,0,54.0,3,2,153883,339788,136628259,0
Arunachal Pradesh,ARUNACHAL EAST,0,3,Hand,1,0,69.0,3,4,83935,339788,353530297,4168771
Arunachal Pradesh,ARUNACHAL EAST,0,33,Maize,1,0,47.0,3,1,22937,339788,10452925,0
Arunachal Pradesh,ARUNACHAL EAST,0,34,A lady farmer carrying paddy on her head,1,0,38.0,3,1,15958,339788,12720974,0
Arunachal Pradesh,ARUNACHAL EAST,0,18,Helicopter,1,0,68.0,3,4,11493,339788,27303830,0
Arunachal Pradesh,ARUNACHAL WEST,1,1,Lotus,1,0,47.0,3,8,225796,463775,15279000,0
